,Unnamed: 0,match_id,PersonalIncome,HouseholdIncome,age,numkids,NumberInHousehold,DoInStage23-ContactlessDoor,DoInStage23-CurbsidePickup,DoInStage23-InStorePickup,DoInStage23-VisitRetail,DoInStage23-VisitRestaurant,PastYear-ECommerce-Frequency-PreparedFood,PastYear-ECommerce-Frequency-Groceries,PastYear-ECommerce-Frequency-OtherFood,PastYear-ECommerce-Frequency-PaperCleaning,PastYear-ECommerce-Frequency-Clothing,PastYear-ECommerce-Frequency-HomeOffice,PastYear-ECommerce-Frequency-Medication,PastYear-ECommerce-Frequency-ChildcareItems,May-InStore-Trips-PreparedFood,May-InStore-Trips-Groceries,May-InStore-Trips-OtherFood,May-InStore-Trips-PaperCleaning,May-InStore-Trips-Clothing,May-InStore-Trips-HomeOffice,May-InStore-Trips-Medication,May-InStore-Trips-ChildcareItems,May-InStore-Frequency-PreparedFood,May-InStore-Frequency-Groceries,May-InStore-Frequency-OtherFood,May-InStore-Frequency-PaperCleaning,May-InStore-Frequency-Clothing,May-InStore-Frequency-HomeOffice,May-InStore-Frequency-Medication,May-InStore-Frequency-ChildcareItems,May-ECommerce-Orders-PreparedFood,May-ECommerce-Orders-Groceries,May-ECommerce-Orders-OtherFood,May-ECommerce-Orders-PaperCleaning,May-ECommerce-Orders-Clothing,May-ECommerce-Orders-HomeOffice,May-ECommerce-Orders-Medication,May-ECommerce-Orders-ChildcareItems,May-ECommerce-Frequency-PreparedFood,May-ECommerce-Frequency-Groceries,May-ECommerce-Frequency-OtherFood,May-ECommerce-Frequency-PaperCleaning,May-ECommerce-Frequency-Clothing,May-ECommerce-Frequency-HomeOffice,May-ECommerce-Frequency-Medication,May-ECommerce-Frequency-ChildcareItems,PastYear-Orders-PreparedFood,May-Trips-PreparedFood,May-Orders-PreparedFood,May-Total-PreparedFood,May-Portion-EPreparedFood,PastYear-Orders-Groceries,May-Trips-Groceries,May-Orders-Groceries,May-Total-Groceries,May-Portion-EGroceries,PastYear-Orders-OtherFood,May-Trips-OtherFood,May-Orders-OtherFood,May-Total-OtherFood,May-Portion-EOtherFood,PastYear-Orders-PaperCleaning,May-Trips-PaperCleaning,May-Orders-PaperCleaning,May-Total-PaperCleaning,May-Portion-EPaperCleaning,PastYear-Orders-Clothing,May-Trips-Clothing,May-Orders-Clothing,May-Total-Clothing,May-Portion-EClothing,PastYear-Orders-HomeOffice,May-Trips-HomeOffice,May-Orders-HomeOffice,May-Total-HomeOffice,May-Portion-EHomeOffice,PastYear-Orders-Medication,May-Trips-Medication,May-Orders-Medication,May-Total-Medication,May-Portion-EMedication,PastYear-Orders-ChildcareItems,May-Trips-ChildcareItems,May-Orders-ChildcareItems,May-Total-ChildcareItems,May-Portion-EChildcareItems,incomelevel,ageLevel
10,2848,10,"$100,000 - $149,999","$100,000 - $149,999",35 - 44,0,2.0,1,1,1,4,5,Less than 1 time per week,2 - 3 times per week,Never,Less than 1 time per month,About 1 time per week,Almost never,Less than 1 time per month,Never,0,4,0,0,0,0,0,0,Less than 1 time per week,No Response,Never,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per month,Never,0,0,0,0,2,0,1,0,Almost never,Almost never,Never,Less than 1 time per month,No Response,Never,No Response,No Response,0.5,0.5,0.0,0.5,0.0,2.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.25,0.25,0.25,0.5,0.5,1.0,0.5,2.0,2.5,0.8,0.0,0.0,0.0,0.0,,0.25,0.25,1.0,1.25,0.8,0.0,0.0,0.0,0.0,,High income,Gen Y & Z
11,2849,11,"$25,000 - $49,999","$25,000 - $49,999",65 - 74,0,1.0,1,4,4,5,2,Never,Never,Never,Never,Never,Never,Never,Never,0,2,0,0,0,0,0,0,About 1 time per week,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Never,Never,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Low income,Baby Boomer and Older
12,2850,12,"$50,000 - $74,999","$50,000 - $74,999",45 - 54,2,4.0,5,5,3,3,2,Never,Never,Never,Never,Never,Never,Never,Never,0,4,0,0,0,0,0,0,Never,No Response,Never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Almost never,0,2,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,Medium income,Gen X
13,2851,13,Prefer not to answer,Prefer not to answer,75 - 84,0,2.0,4,4,2,4,3,Less than 1 time per month,Never,Never,Less than 1 time per month,Almost never,Almost never,Almost never,Never,0,2,0,0,0,0,0,0,No Response,No Response,About 1 time per week,No Response,No Response,No Response,No Response,No Response,0,1,1,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,No Response,No Response,Less than 1 time per month,No Response,0.25,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.5,0.25,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,,Unknown,Baby Boomer and Older
14,2852,14,Prefer not to answer,Prefer not to answer,60 - 64,0,1.0,4,4,4,4,1,Never,Never,Never,Never,Less than 1 time per month,Never,Less than 1 time per month,Never,0,1,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,0,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Unknown,Baby Boomer and Older
15,2853,15,"$100,000 - $149,999","$100,000 - $149,999",60 - 64,0,2.0,5,2,2,2,2,About 1 time per week,Less than 1 time per week,About 1 time per week,Never,Never,Never,About 1 time per week,Never,2,4,0,0,0,0,2,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,2,2,0,1,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1.0,1.0,0.0,1.0,0.0,0.5,2.0,2.0,4.0,0.5,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,High income,Baby Boomer and Older
16,2854,16,"$15,000 - $24,999","$200,000 or more",20 - 24,0,3.0,5,5,4,2,1,Less than 1 time per month,Never,Almost never,Almost never,Less than 1 time per month,Almost never,Almost never,Never,2,6,0,0,0,0,0,0,No Response,No Response,Never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Never,1,2,0,0,0,0,0,0,No Response,No Response,Almost never,Never,Less than 1 time per month,Almost never,Almost never,Never,0.25,1.0,1.0,2.0,0.5,0.0,3.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.0,0.25,0.25,0.25,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,High income,Gen Y & Z
17,2855,17,"$50,000 - $74,999","$50,000 - $74,999",60 - 64,0,1.0,4,4,4,5,5,Less than 1 time per week,Almost never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Never,4,8,2,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,2,0,0,0,0,0,0,0,No Response,Never,Less than 1 time per week,No Response,No Response,No Response,No Response,No Response,0.5,2.0,2.0,4.0,0.5,0.0,4.0,0.0,4.0,0.0,0.5,1.0,0.5,1.5,0.3333333333333333,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,Medium income,Baby Boomer and Older
18,2856,18,"$15,000 - $24,999","$15,000 - $24,999",65 - 74,0,1.0,4,3,3,4,4,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,0,2,0,0,0,0,0,0,Never,No Response,Less than 1 time per week,Never,Never,About 1 time per week,Never,Never,4,1,0,2,1,0,1,0,No Response,No Response,2 - 3 times per week,No Response,No Response,Never,No Response,Never,1.0,0.0,4.0,4.0,1.0,0.25,1.0,1.0,2.0,0.5,0.25,0.5,2.5,3.0,0.8333333333333334,0.25,0.0,2.0,2.0,1.0,0.25,0.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,Low income,Baby Boomer and Older
19,2857,19,"$150,000 - $199,999","$200,000 or more",45 - 54,0,3.0,4,4,4,3,2,Less than 1 time per month,Never,Never,Never,Less than 1 time per month,Never,Never,Never,0,2,0,0,0,0,0,0,Never,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Never,Never,Never,0,1,0,0,1,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0.25,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,High income,Gen X
20,2858,20,"$25,000 - $49,999","$25,000 - $49,999",65 - 74,0,1.0,1,3,3,4,3,About 1 time per week,About 1 time per week,Never,Never,Never,Never,Never,Never,1,0,1,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1,0,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1.0,0.5,1.0,1.5,0.6666666666666666,1.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Low income,Baby Boomer and Older
21,2859,22,"$25,000 - $49,999","$75,000 - $99,999",25 - 34,0,3.0,1,1,1,1,1,Never,Never,Never,Never,Never,Never,Never,Never,2,2,0,2,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,0,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Medium income,Gen Y & Z
22,2860,23,"$25,000 - $49,999","$25,000 - $49,999",65 - 74,1,3.0,1,1,1,3,2,Never,Never,Never,Never,Never,Never,Never,Never,2,2,0,0,0,0,0,0,No Response,No Response,Never,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,0,0,0,0,0,0,0,Never,Almost never,Never,Almost never,Less than 1 time per month,Never,Never,Never,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,Low income,Baby Boomer and Older
23,2861,24,Don't know,Don't know,25 - 34,0,3.0,5,5,4,2,1,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per week,Less than 1 time per month,Almost never,Less than 1 time per week,About 1 time per week,0,2,2,2,0,0,0,2,About 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,1,1,1,0,0,0,1,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0.25,1.0,0.0,1.0,0.0,0.5,1.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,2.0,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.5,Unknown,Gen Y & Z
24,2862,25,"$200,000 or more","$200,000 or more",45 - 54,0,2.0,1,4,4,2,2,Almost never,Almost never,Almost never,Almost never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,2,1,0,0,0,0,0,About 1 time per week,No Response,No Response,Almost never,Almost never,Almost never,Less than 1 time per month,Never,1,0,0,0,0,0,0,0,No Response,Almost never,Almost never,Less than 1 time per month,Almost never,Almost never,Almost never,Never,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,High income,Gen X
25,2863,26,"$100,000 - $149,999","$100,000 - $149,999",45 - 54,0,2.0,5,4,2,3,2,Never,Never,Less than 1 time per week,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,6,0,0,0,0,0,0,2 - 3 times per week,No Response,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,No Response,Never,0,0,0,0,0,0,1,0,Never,Almost never,Less than 1 time per month,Never,Less than 1 time per month,Never,No Response,Never,0.0,2.5,0.0,2.5,0.0,0.0,3.0,0.0,3.0,0.0,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,High income,Gen X
26,2864,27,"$75,000 - $99,999","$100,000 - $149,999",25 - 34,0,2.0,5,5,2,1,2,Less than 1 time per week,Never,Less than 1 time per week,Never,Less than 1 time per month,Almost never,Never,Never,0,2,0,0,0,0,2,0,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,No Response,Never,1,0,0,0,0,0,1,0,No Response,Never,Less than 1 time per week,Never,Almost never,Almost never,No Response,Never,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.25,0.5,0.75,0.6666666666666666,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,,High income,Gen Y & Z
27,2865,28,"$100,000 - $149,999","$100,000 - $149,999",55 - 59,0,1.0,5,5,5,4,5,About 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Never,Never,Never,4,2,2,2,0,0,0,0,No Response,No Response,No Response,No Response,Less than 1 time per week,Almost never,Less than 1 time per month,Never,2,0,0,0,0,0,0,0,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Less than 1 time per week,Almost never,Almost never,Never,1.0,2.0,2.0,4.0,0.5,0.5,1.0,0.25,1.25,0.2,0.25,1.0,0.25,1.25,0.2,0.5,1.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,High income,Baby Boomer and Older
28,2866,29,"$25,000 - $49,999","$50,000 - $74,999",25 - 34,2,4.0,4,4,4,2,2,2 - 3 times per week,About 1 time per week,Never,Almost never,Less than 1 time per month,Never,Never,Never,0,0,0,0,0,0,0,0,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Almost never,Never,Almost never,Never,2,1,1,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,Almost never,Never,Never,Never,2.5,0.25,2.0,2.25,0.8888888888888888,1.0,0.5,1.0,1.5,0.6666666666666666,0.0,0.5,1.0,1.5,0.6666666666666666,0.0,0.25,0.25,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Medium income,Gen Y & Z
