,match_id,PersonalIncome,HouseholdIncome,age,numkids,NumberInHousehold,DoInStage23-ContactlessDoor,DoInStage23-CurbsidePickup,DoInStage23-InStorePickup,DoInStage23-VisitRetail,DoInStage23-VisitRestaurant,PastYear-ECommerce-Frequency-PreparedFood,PastYear-ECommerce-Frequency-Groceries,PastYear-ECommerce-Frequency-OtherFood,PastYear-ECommerce-Frequency-PaperCleaning,PastYear-ECommerce-Frequency-Clothing,PastYear-ECommerce-Frequency-HomeOffice,PastYear-ECommerce-Frequency-Medication,PastYear-ECommerce-Frequency-ChildcareItems,May-InStore-Trips-PreparedFood,May-InStore-Trips-Groceries,May-InStore-Trips-OtherFood,May-InStore-Trips-PaperCleaning,May-InStore-Trips-Clothing,May-InStore-Trips-HomeOffice,May-InStore-Trips-Medication,May-InStore-Trips-ChildcareItems,May-InStore-Frequency-PreparedFood,May-InStore-Frequency-Groceries,May-InStore-Frequency-OtherFood,May-InStore-Frequency-PaperCleaning,May-InStore-Frequency-Clothing,May-InStore-Frequency-HomeOffice,May-InStore-Frequency-Medication,May-InStore-Frequency-ChildcareItems,May-ECommerce-Orders-PreparedFood,May-ECommerce-Orders-Groceries,May-ECommerce-Orders-OtherFood,May-ECommerce-Orders-PaperCleaning,May-ECommerce-Orders-Clothing,May-ECommerce-Orders-HomeOffice,May-ECommerce-Orders-Medication,May-ECommerce-Orders-ChildcareItems,May-ECommerce-Frequency-PreparedFood,May-ECommerce-Frequency-Groceries,May-ECommerce-Frequency-OtherFood,May-ECommerce-Frequency-PaperCleaning,May-ECommerce-Frequency-Clothing,May-ECommerce-Frequency-HomeOffice,May-ECommerce-Frequency-Medication,May-ECommerce-Frequency-ChildcareItems
2875,38,"$75,000 - $99,999","$75,000 - $99,999",60 - 64,0,2.0,5,3,4,3,1,Less than 1 time per month,Less than 1 time per month,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,0,2,0,0,0,0,0,0,3 - 5 times per week,No Response,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,0,3,0,0,0,0,1,0,Less than 1 time per month,No Response,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Never
2876,39,"$25,000 - $49,999","$25,000 - $49,999",25 - 34,2,4.0,5,5,5,5,3,Never,Almost never,Never,Less than 1 time per month,Less than 1 time per month,Almost never,Never,Less than 1 time per month,2,6,0,0,0,2,2,2,No Response,No Response,Almost never,About 1 time per week,Less than 1 time per week,No Response,No Response,No Response,1,0,0,0,1,1,0,0,No Response,Never,Never,Less than 1 time per month,No Response,No Response,Almost never,Less than 1 time per month
2877,40,"$25,000 - $49,999",No Response,45 - 54,0,1.0,1,1,1,1,1,Less than 1 time per week,Never,Never,Never,Almost never,Almost never,Almost never,Never,0,0,0,0,0,0,-9998,-9998,Less than 1 time per week,Less than 1 time per week,Never,Less than 1 time per week,Less than 1 time per month,Almost never,No Response,No Response,-9998,-9998,-9998,-9998,1,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2878,41,"$25,000 - $49,999","$150,000 - $199,999",20 - 24,1,4.0,5,4,5,2,1,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Never,2,2,0,0,0,0,2,0,No Response,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Never,1,1,2,1,0,0,0,0,No Response,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Almost never,Never
2879,42,"$200,000 or more","$200,000 or more",65 - 74,0,2.0,4,1,1,2,3,Almost never,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Almost never,-9998,1,-9998,-9998,-9998,-9998,1,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2880,43,"$75,000 - $99,999",No Response,35 - 44,0,1.0,1,4,4,4,2,Less than 1 time per month,Never,Never,Never,Less than 1 time per month,Never,Less than 1 time per month,Never,0,2,4,0,0,0,0,0,Less than 1 time per week,No Response,No Response,Almost never,Never,Never,Less than 1 time per month,Never,0,0,0,0,0,0,0,0,Less than 1 time per week,Never,Never,Never,Never,Never,Less than 1 time per month,Never
2881,44,"$50,000 - $74,999",No Response,75 - 84,0,1.0,4,1,1,2,2,Less than 1 time per month,Almost never,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,2,2,0,0,0,0,0,0,No Response,No Response,Less than 1 time per week,Less than 1 time per week,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,0,0,0,0,1,0,0,0,Almost never,Almost never,Never,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,Never
2882,45,"$15,000 - $24,999","$100,000 - $149,999",55 - 59,0,2.0,5,5,5,5,2,2 - 3 times per week,Never,Never,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,Never,0,8,0,2,0,0,2,0,3 - 5 times per week,No Response,Less than 1 time per week,No Response,Less than 1 time per week,Less than 1 time per week,No Response,Almost never,4,0,0,0,2,0,1,0,No Response,Never,Never,Almost never,No Response,Less than 1 time per month,No Response,Never
2883,46,"$200,000 or more","$200,000 or more",65 - 74,0,2.0,1,1,1,3,3,Never,Never,Never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,0,2,0,0,0,0,2,0,Almost never,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Less than 1 time per month,0,-9998,0,0,5,0,3,0,Almost never,No Response,Almost never,Less than 1 time per month,No Response,Less than 1 time per month,No Response,Less than 1 time per month
2884,47,"$10,000 - $14,999","$10,000 - $14,999",35 - 44,0,2.0,3,3,3,3,2,Never,Never,Never,Never,Never,Never,Never,Never,8,6,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,3,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2885,48,"$25,000 - $49,999","$25,000 - $49,999",35 - 44,2,5.0,4,4,1,1,3,About 1 time per week,2 - 3 times per week,Almost never,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,2,11,0,11,0,0,1,0,No Response,No Response,About 1 time per week,No Response,Less than 1 time per week,Less than 1 time per week,No Response,Less than 1 time per week,2,11,0,5,6,1,3,8,No Response,No Response,Less than 1 time per month,No Response,No Response,No Response,No Response,No Response
2886,49,"$50,000 - $74,999","$75,000 - $99,999",65 - 74,0,2.0,3,3,3,3,1,Never,Never,Never,Never,Almost never,Almost never,Never,Never,0,1,0,0,0,0,0,0,Never,No Response,Never,Never,Never,Never,Never,Never,1,0,0,0,0,0,0,0,No Response,Never,Never,Never,Almost never,Almost never,Never,Never
2887,50,"$100,000 - $149,999","$150,000 - $199,999",25 - 34,0,2.0,2,4,5,2,1,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,4,0,0,0,0,0,0,No Response,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,0,0,0,0,0,0,0,0,Less than 1 time per week,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month
2888,51,"$75,000 - $99,999","$200,000 or more",55 - 59,0,2.0,1,2,4,5,5,Less than 1 time per month,Less than 1 time per month,Never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Never,2,2,0,2,0,0,0,0,No Response,No Response,Less than 1 time per month,No Response,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,Never,1,0,0,0,0,0,0,0,No Response,Less than 1 time per month,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,Never
2889,52,"$25,000 - $49,999",No Response,75 - 84,0,1.0,5,3,4,5,4,Never,Never,Never,Never,Less than 1 time per week,Never,Less than 1 time per month,Less than 1 time per month,0,4,-9998,0,0,0,0,0,Never,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,Almost never,0,0,-9998,0,0,0,0,1,Never,Never,No Response,Never,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,No Response
2890,53,"$75,000 - $99,999","$75,000 - $99,999",65 - 74,0,2.0,5,5,4,2,2,Less than 1 time per week,Almost never,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,2,4,-9998,-9998,0,0,-9998,0,No Response,No Response,No Response,No Response,Never,Never,No Response,Never,1,2,1,2,-9998,-9998,1,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2891,54,"$100,000 - $149,999","$200,000 or more",35 - 44,2,4.0,1,3,5,5,5,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,Less than 1 time per month,0,3,0,3,0,0,0,0,Less than 1 time per month,No Response,Almost never,No Response,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,0,1,0,0,0,0,0,0,Almost never,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,Less than 1 time per month
2892,55,Prefer not to answer,No Response,45 - 54,1,1.0,3,1,1,5,2,Less than 1 time per month,Never,Never,Never,Almost never,Almost never,Never,Never,4,2,0,0,0,0,2,0,No Response,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Never,1,0,0,0,0,0,0,0,No Response,About 1 time per week,2 - 3 times per week,Never,Almost never,Never,Never,Never
